ParentID	FiscalYear	ObligatedAmount	ObligatedAmountIsSmall	PercentIsSmall	LargeGreaterThan3B	MaxOfAnyIsSmall	MinOfAnyIsSmall	MaxOfIsOnePercentPlusSmall	MinOfIsOnePercentPlusSmall	MaxOfAlwaysIsSmall	MinOfAlwaysIsSmall
INTERPUBLIC GROUP OF COMPANIES	2001	52493124	0	0	1	0	0	0	0	0	0
UNIV OF MINNESOTA	2006	2220016	0	0	0	0	0	0	0	0	0
DYNETICS	2003	218070513.2	211574279	0.97021	0	1	1	1	1	1	0
SPACEX	2014	497433902.9	107489911.9	0.216088	1	1	1	1	1	0	0
NORSTAN COMMUNICATIONS	2007	150593.49	39145.8	0.259943	0	1	0	1	0	0	0
SCION ASSOCIATES	2001	542973	542973	1	0	1	1	1	1	1	1
PE SYSTEMS	2014	1693618.391	0	0	0	0	0	0	0	0	0
INTERNATIONAL SHIPHOLDING	2011	70566954.2	0	0	0	0	0	0	0	0	0
Washington Savannah River Company [URS]	2001	1499363000	0	0	1	0	0	0	0	0	0
NEXTIRA FEDERAL	2009	110116990.6	3750	0.000034	0	1	1	0	0	0	0
STORM PRODUCTS	2012	114346.88	0	0	0	0	0	0	0	0	0
BLUE TEE	2007	18648	3857	0.206831	0	1	1	1	1	0	0
INTERNATIONAL AIR LEASES	2006	-3996142	-3996142	1	0	1	1	1	1	1	1
ANIXTER	2001	9913060.81	577521	0.058258	1	1	0	1	0	1	0
FIELD SUPPORT	2006	2203558	2203558	1	0	1	1	1	1	1	1
CALCASIEU REFINING	1990	70355000	0	0	0	0	0	0	0	0	0
PEABODY HOLDIN	1999	258682	0	0	0	0	0	0	0	0	0
K TECHNOLOGY	2006	1135478	1135478	1	0	1	1	1	1	1	1
DEVELOPMENT ALTERNATIVES	2009	253957445.5	0	0	0	0	0	0	0	0	0
DYNAMEX	2001	179000	0	0	0	0	0	0	0	0	0
POINT REYES BI	2008	-35000	5000	-0.142857	0	1	1	0	0	0	0
ACQUISITION HOLDINGS	2009	319226.92	97685	0.306004	0	1	1	1	1	0	0
INTERNATIONAL SHIPHOLDING	2014	10380590.58	0	0	0	0	0	0	0	0	0
OPE TECHNOLOGY GROUP	2011	8082120.1	8082120.1	1	0	1	1	1	1	1	1
STORM PRODUCTS	2009	193856.3	179811.1	0.927548	0	1	1	1	1	0	0
EAST WEST MANAGEMENT INSTITUTE	2009	2139006	0	0	0	0	0	0	0	0	0
NEXTIRA FEDERAL	2006	11733659.37	77134.76	0.006573	0	1	1	0	0	0	0
KILIMANJARO INTERNATIONAL CORPORATION	2011	11023	0	0	0	0	0	0	0	0	0
BLUE TEE	2004	394389.42	0	0	0	0	0	0	0	0	0
ROBERT MACKINNON	2002	46000	46000	1	0	1	1	1	1	1	1
ABCOM	2014	25097.46	0	0	0	0	0	0	0	0	0
EXELIS	2014	819599639	2152032	0.002625	1	1	0	1	0	0	0
CLEAN HARBORS	2002	6581455	5927712	0.900668	0	1	0	1	0	1	0
TAMPA SHIPYARDS	1990	69820000	0	0	0	0	0	0	0	0	0
HAMILTON PRODUCTS	1996	437476	121434	0.277578	0	1	1	1	1	0	0
PRAGMATICS	2008	69212426.74	49380624.78	0.713464	0	1	1	1	1	0	0
BASIC COMMERCE & INDUSTRIES	1996	5778423	1560969	0.270137	0	1	1	1	1	1	0
COMPUTER ASSOCIATES	1991	9396658	34000	0.003618	1	1	0	0	0	0	0
ADOBE	2014	-2536.43	0	0	0	0	0	0	0	0	0
INTERAD	1991	55000	55000	1	0	1	1	1	1	1	1
CCI	2014	3353075	3353075	1	0	1	1	1	1	1	1
IROBOT	2014	15048313.68	542521.6698	0.036051	0	1	1	1	1	0	0
PC DOCS GROUP	1999	1208000	342839	0.283807	0	1	0	1	0	0	0
ESCO ENERGY	2015	6576016.88	6576016.88	1	0	1	1	1	1	1	1
DOYON / AKAL JV II	2013	32164695.99	32164695.99	1	0	1	1	1	1	1	1
OAK RIDGE ASSOCIATED UNIVERSITIES	2014	306766563.5	0	0	1	0	0	0	0	0	0
CCI	1991	1855000	1855000	1	0	1	1	1	1	1	1
"ALTUS CAPITAL PARTNERS [GICHNER SYSTEMS GROUP, INC ]"	1993	2396084	0	0	0	0	0	0	0	0	0
CLEAN HARBORS	1999	200000	0	0	0	0	0	0	0	0	0
SYSTEMS GROUP	1993	1812610	1812610	1	0	1	1	1	1	1	1
DOUBLE R PRODUCTIONS	2011	5780	5780	1	0	1	1	1	1	1	1
SPECTRUM CONTROL	2008	64976.3	46471.3	0.715203	0	1	0	1	0	1	0
TRO	2011	1120085.36	396587.51	0.354069	0	1	0	1	0	0	0
VMWARE	2011	1025599.6	35486.52	0.0346	0	1	1	1	1	0	0
ARINC [Carlyle Group]	1991	64485000	0	0	0	0	0	0	0	0	0
HAMILTON PRODUCTS	1999	340090	340090	1	0	1	1	1	1	1	1
AT&T	1996	513358814	332377	0.000647	1	1	0	1	0	1	0
AMEC HOLDING	1999	74807897	0	0	1	0	0	0	0	0	0
SHAMBAUGH & SON	2008	1420470.63	1090771	0.767894	0	1	1	1	1	0	0
AQUASIS SERVIC	1996	2670102	2670102	1	0	1	1	1	1	1	1
PETERSON BUILDERS	2000	1366001	1366001	1	0	1	1	1	1	1	1
RADIATION SYST	2007	42454	12600	0.296791	0	1	1	1	1	0	0
BOB CROWE	2004	9631734.68	9608002.68	0.997536	0	1	1	1	1	0	0
AMERICAN CHEMICAL SOCIETY	2013	16496226.34	0	0	0	0	0	0	0	0	0
THE FORGE COMPANY	2000	919000	96000	0.104461	0	1	1	1	1	0	0
GARLAND INDUSTRIES	2010	3940656	178349	0.045258	0	1	1	1	1	0	0
KNIGHT PROTECTIVE SERVICES	2013	14742718.8	-913.5	-0.000061	0	1	1	0	0	0	0
UNIVERSITY OF TEXAS	2004	113199652.6	3986.5	0.000035	0	1	0	1	0	1	0
MOFFATT & NICHOL ENGINEERS	2003	5057798	-6386	-0.001262	0	1	0	1	0	1	0
WHITE ELECTRICAL CONSTRUCTION	2013	45310	45310	1	0	1	1	1	1	1	1
COMPUTER ASSOCIATES	2000	310420224	1407947	0.004535	1	1	0	1	0	0	0
VAUGHN MELTO	2000	42314	0	0	0	0	0	0	0	0	0
ESCO ENERGY	2006	11302803	11302803	1	0	1	1	1	1	1	1
AQUA PRO	2010	1395726.53	583301.61	0.417919	0	1	1	1	1	1	0
THE ASSOCIATED PRESS	2003	2125130	284533	0.133889	0	1	0	1	0	0	0
KNIGHT PROTECTIVE SERVICES	2010	27433213.88	70751.88	0.002579	0	1	1	0	0	0	0
**VARIABLE	2007	357250454.4	930849.36	0.002605	0	1	0	1	0	0	0
PETERSON BUILDERS	2003	253400	0	0	0	0	0	0	0	0	0
SERGENT MECHAN	1991	6481000	6481000	1	0	1	1	1	1	1	1
ROWECOM	2004	-1814.89	0	0	0	0	0	0	0	0	0
RADIATION SYST	2010	-12600	-12600	1	0	1	1	1	1	1	1
SOFTMART	2012	136061558.6	135680610.2	0.9972	0	1	1	1	1	0	0
SBC	2011	3500	3500	1	0	1	1	1	1	1	1
SEALIFT HOLDINGS	2015	68307247.82	59107747.82	0.865321	0	1	1	1	1	0	0
PROPPER INTERNATIONAL	1998	38320742	0	0	0	0	0	0	0	0	0
JJMA	1998	91101340	176263	0.001934	1	1	0	0	0	0	0
HDR	1998	1948228	0	0	0	0	0	0	0	0	0
"Atlantic Engineering & Construction Company, Inc"	2012	2222339.36	0	0	0	0	0	0	0	0	0
GILBANE BUILDING COMPANY	2012	421381823.3	28602549.15	0.067877	1	1	0	1	0	0	0
VISUALGRIOT	2012	25000	0	0	0	0	0	0	0	0	0
ELBIT SYSTEMS	1998	2973961	728701	0.245027	0	1	1	1	1	0	0
MA MORTENSON COMPANY	2015	53475499.34	0	0	1	0	0	0	0	0	0
VION	1992	5996790	3545497	0.591232	0	1	1	1	1	1	0
CSI AVIATION SERVICES	2012	134242559.7	134193443.7	0.999634	0	1	1	1	1	0	0
EDO ACQUISITION II	2012	3964921.23	96701	0.024389	0	1	1	1	1	0	0
QTC MANAGEMENT	2015	182795801.9	26480	0.000144	0	1	1	0	0	0	0
GILBANE BUILDING COMPANY	2015	1956424.83	0	0	1	0	0	0	0	0	0
LINDA STANLEY SMITH	2008	296176	296176	1	0	1	1	1	1	1	1
GILBANE BUILDING COMPANY	1992	70396	0	0	1	0	0	0	0	0	0
SEALIFT HOLDINGS	2012	84998280.52	83188280.52	0.978705	0	1	1	1	1	1	0
"Energy and Resources Institute,The"	2012	44384.7	0	0	0	0	0	0	0	0	0
PETROLEUM TRADERS	2015	33488289.91	33188289.91	0.991041	0	1	1	1	1	0	0
BELLSOUTH	2015	17357219.26	4480.28	0.000258	0	1	1	0	0	0	0
HYDRO MECHANICAL	2012	57892	0	0	0	0	0	0	0	0	0
EDO ACQUISITION II	2015	1225148.22	0	0	0	0	0	0	0	0	0
CONOCOPHILIPPS	1995	71431939	0	0	1	0	0	0	0	0	0
UNISYS	1989	9555000	0	0	1	0	0	0	0	0	0
PETROLEUM TRADERS	2012	39396145.8	39388031.7	0.999794	0	1	1	1	1	0	0
TELALASKA	2015	38176.14	7000	0.18336	0	1	0	1	0	0	0
ICARO INTERNATIONAL SERVICES SA	2011	123646879.7	0	0	0	0	0	0	0	0	0
CAMECA USA	2009	151400	88600	0.585204	0	1	1	1	1	0	0
TBT JANITORIAL	1995	659550	659550	1	0	1	1	1	1	1	1
UNISON INDUSTRIES LLC [SLICK AIRCRAFT PRODUCTS]	1992	2723450	2565619	0.942047	0	1	1	1	1	0	0
CERES ENVIRONMENTAL	2012	-2139416.62	1385701.27	-0.6477	0	1	1	0	0	0	0
SEALIFT HOLDINGS	1992	13071908	12823753	0.981016	0	1	0	1	0	1	0
DAMES & MOORE	1992	113657	0	0	0	0	0	0	0	0	0
KILOHANA	2015	207119	0	0	0	0	0	0	0	0	0
TODD SHIPYARDS	2006	42290004.67	31012770	0.733335	0	1	1	1	1	0	0
TOKYO ELECTRIC POWER	2011	20095684.96	0	0	0	0	0	0	0	0	0
EATON	1991	160705805	348000	0.002165	0	1	0	1	0	1	0
CORRECTIONS CORPORATION OF AMERICA	2014	401005025.6	0	0	0	0	0	0	0	0	0
QUANTA SYSTEMS	2009	1705477.3	18288.2	0.010723	0	1	1	1	1	0	0
C & D	1998	3532533	3532533	1	0	1	1	1	1	1	1
TENIR INVESTMENTS	2006	6474208.71	6470908.71	0.99949	0	1	1	1	1	0	0
UNIVERSITY OF FLORIDA	1993	3712863	0	0	0	0	0	0	0	0	0
COLTEC INDUSTRIES	2003	3281766	73426	0.022373	0	1	0	1	0	0	0
CIVILIAN POLICE INTERNATIONAL	2012	-2973569.88	0	0	0	0	0	0	0	0	0
CIVILIAN POLICE INTERNATIONAL	2009	47208612.51	0	0	0	0	0	0	0	0	0
CENTER FOR DEFENDING FREEDOM OF JOURNALISTS	2015	-17.99	0	0	0	0	0	0	0	0	0
FEDERAL DATA	2004	-26597.48	-20865.48	0.78449	0	1	1	1	1	0	0
LYKES LINES	2006	34078430	0	0	0	0	0	0	0	0	0
APPLE COMPUTER	2001	825481	0	0	1	0	0	0	0	0	0
OFFORED FINANCE	2008	2410183.05	2411690.67	1.000625	0	1	1	1	1	0	0
WESTAT	2002	277670094.2	6412196	0.023092	0	1	1	1	0	1	0
MI state government	2011	581731.36	0	0	0	0	0	0	0	0	0
SONETICOM	2010	301158.18	0	0	0	1	1	0	0	0	0
BARTON MALOW ENTERPRISES	2011	5860493.32	4464747.76	0.761838	0	1	1	1	1	0	0
RHEINMETALL AG	2014	-61741.8008	0	0	0	0	0	0	0	0	0
ROE ENTERPRISES	1999	23833114	666466	0.027963	0	1	0	1	0	0	0
PLATINUM EQUITY HOLDINGS	2011	296483.47	296483.47	1	0	1	1	1	1	1	1
WA state government	2011	671796.92	0	0	0	0	0	0	0	0	0
ENERTEK INTERNATIONAL	1999	2027177	2027177	1	0	1	1	1	1	1	1
WOODWARD CLYDE	1999	1751303	0	0	0	0	0	0	0	0	0
RAYTHEON	2011	15124137009	25807076.58	0.001706	1	1	0	1	0	1	0
SKYLINK AIR & LOGISTIC SUPPORT	2014	3592146	0	0	0	0	0	0	0	0	0
SYSTEMS & ELECTRONICS	2011	87049	87049	1	0	1	1	1	1	1	1
BERGER GROUP	2014	66439704.67	0	0	0	0	0	0	0	0	0
DSCI	1999	35592	35592	1	0	1	1	1	1	1	1
SETTLES ASSOCIATES	1991	38000	38000	1	0	1	1	1	1	1	1
SCHEMMER ASS	2014	711768.37	0	0	0	1	1	0	0	0	0
IMS	2011	22002874.6	22002874.6	1	0	1	1	1	1	1	1
MI state government	2008	753652.97	0	0	0	0	0	0	0	0	0
BARTON MALOW ENTERPRISES	2014	126834.87	55151.87	0.434832	0	1	1	1	1	0	0
RAYTHEON	2014	12201599110	6419997.641	0.000526	1	1	0	1	0	1	0
ENDEVCOOR	2002	10465649	52009	0.004969	0	1	0	1	0	0	0
WA state government	2008	230611.95	0	0	0	0	0	0	0	0	0
BERGER GROUP	2011	250013734.4	69358.23	0.000277	0	1	0	0	0	0	0
RFI ENTERPRISES	2011	51468.48	0	0	0	0	0	0	0	0	0
ARAMARK	1999	1908820	0	0	0	0	0	0	0	0	0
ENERTEK INTERNATIONAL	1996	375000	375000	1	0	1	1	1	1	1	1
Navistar International	2010	1889393915	4651770	0.002462	1	1	0	1	0	1	0
IMS	2014	34015431.53	33995881.53	0.999425	0	1	1	1	1	0	0
GRUBB & ELLIS COMPANY	2014	90500	0	0	0	0	0	0	0	0	0
CONFEDERATED SALISH & KOOTENAI	2011	5433401.93	5433401.93	1	0	1	1	1	1	1	1
STC GROUP	2002	3998987.03	3880532.03	0.970378	0	1	1	1	1	0	0
CSX	1992	300700	0	0	1	0	0	0	0	0	0
GRUNLEY CONSTRUCTION CO	2014	239442841.8	9561106	0.03993	0	1	1	1	1	0	0
WOODWARD CLYDE	1993	42616830	607130	0.014246	0	1	0	1	0	0	0
PACIFIC UTILIT	2009	7450	0	0	0	0	0	0	0	0	0
CANGENE	2001	50000	0	0	0	0	0	0	0	0	0
RUST INTERNATIONAL	2006	-10521	0	0	0	0	0	0	0	0	0
VIRGINIA HEALTH CARE	2015	39000	0	0	0	0	0	0	0	0	0
BLACK EEL	2006	23097837	0	0	0	0	0	0	0	0	0
MARCONI	1998	1222097	0	0	0	0	0	0	0	0	0
DICK ENTERPRISES	2004	240365699.1	0	0	0	0	0	0	0	0	0
NORTHWEST PROCUREMENT INSTITUT	2001	46000	46000	1	0	1	1	1	1	1	1
SYSTEMS MADE SIMPLE	2009	24329489.82	22169602.92	0.911223	0	1	1	1	1	0	0
WEEKS MARINE	2000	93423080	179851	0.001925	0	1	0	0	0	0	0
CENTRAL PARKING	2015	2149074.95	341957.4	0.159118	0	1	0	1	0	1	0
DLT SOLUTIONS	2010	214461539.8	28997282.63	0.135209	0	1	1	1	1	0	0
VANGENT [General Dynamics]	2007	363912214.4	5807660.53	0.015958	0	1	0	1	0	1	0
MEYERINCK GROUP GMBH	2007	61278	0	0	0	0	0	0	0	0	0
KONTRON AG	2012	4795383.24	627386	0.130831	0	1	1	1	1	0	0
INSIGHT ENTERPRISES	2001	8056927	578705	0.071827	0	1	1	1	1	0	0
SPACE VECTOR	1999	-358080	0	0	0	0	0	0	0	0	0
ERDAS	1990	1567000	1567000	1	0	1	1	1	1	1	1
GTE [VERIZON]	2007	1037189.8	6521	0.006287	1	1	0	1	0	0	0
UNIVERSITY OF FLORIDA	2013	11701397.26	0	0	0	0	0	0	0	0	0
UNIVERSITY OF FLORIDA	1990	4461000	0	0	0	0	0	0	0	0	0
UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION	2006	5638669.59	65582.4	0.01163	0	1	0	1	0	1	0
CHARLES RIVER LABORATORIES	1996	36683	0	0	0	0	0	0	0	0	0
ALCOA	2001	11239323	936035	0.083282	0	1	0	1	0	1	0
BART & ASSOCIATES	2013	55844927.18	55084597.19	0.986384	0	1	1	1	1	0	0
JORGE SCIENTIFIC	1999	4540681	4540681	1	0	1	1	1	1	1	1
FRAMACO INTERNATIONAL	2004	33159950	0	0	0	0	0	0	0	0	0
TBT JANITORIAL	2006	2168609.3	2168609.3	1	0	1	1	1	1	1	1
BARRINGER INSTRUMENTS	1996	54396	0	0	0	0	0	0	0	0	0
IPSEN INTERNATIONAL	2000	1781066	806229	0.452666	0	1	0	1	0	1	0
ASSOCIATED MANAGEMENT SERVICES	1993	380565	380565	1	0	1	1	1	1	1	1
WILLIAMS COMMUNICATIONS	2004	4571044.08	81819.81	0.017899	0	1	0	1	0	0	0
TRUMAN ARNOLD COMPANIES	2003	-370858	-370858	1	0	1	1	1	1	1	1
CHUCK FUNKE	2011	25316586.99	23657314.5	0.934459	0	1	1	1	1	0	0
GLOBAL LINGUIST SOLUTIONS	2011	282082461.4	0	0	0	0	0	0	0	0	0
TENIR INVESTMENTS	2003	2115503.42	2123003.42	1.003545	0	1	0	1	0	1	0
AEROSPACE TESTING ALLIANCE [Joint Venture - Jacobs Engineering & CSC &General Physics Corporation]	2015	286359565.3	0	0	1	0	0	0	0	0	0
BELLSOUTH	2009	20252779.63	234251.08	0.011566	0	1	0	1	0	0	0
TOLTEST	2008	153521979.4	35467919.33	0.231028	0	1	1	1	1	0	0
LYKES LINES	2003	16099914	5536514	0.343884	0	1	1	1	1	0	0
LINDA STANLEY SMITH	2002	25000	25000	1	0	1	1	1	1	1	1
JVYS [YULISTA/SES]	2003	70161722	0	0	0	0	0	0	0	0	0
APPLE COMPUTER	2007	2409079.51	359221	0.149111	1	1	0	1	0	1	0
HITACHI	1996	58293	0	0	0	0	0	0	0	0	0
IT GROUP	1998	87379279	0	0	0	0	0	0	0	0	0
DUKE COGEMA STONE & WEBSTER	2005	311648604.7	0	0	1	0	0	0	0	0	0
PERSONNEL DECISIONS INTL	2002	3740617	21000	0.005614	0	1	1	0	0	0	0
SPACE VECTOR	2008	132139	82440	0.623888	0	1	1	1	1	0	0
BECHTEL	2002	3919774438	1134704	0.000289	1	1	0	1	0	1	0
FLUOR	2011	2775570204	0	0	1	0	0	0	0	0	0
SYSTEM PLANNING	2011	21147590.98	-175886.64	-0.008317	0	1	1	0	0	0	0
WILDFLOWER INTERNATIONAL	1999	29810	29810	1	0	1	1	1	1	1	1
CHIRON	1999	432323	0	0	0	0	0	0	0	0	0
PDM	1999	-10855	-10855	1	0	1	1	1	1	1	1
JBF ASSOCIATES	2008	-1084.7	0	0	0	0	0	0	0	0	0
STEALTH NETWORK COMMUNICATIONS	2002	2148294.76	2101429.76	0.978185	0	1	1	1	1	0	0
NOVA SCIENTIFIC	2002	1592421	1592421	1	0	1	1	1	1	1	1
CLEANWELL MAINTENANCE	2008	625231.8	625231.8	1	0	1	1	1	1	1	1
JING XING TECHNOLOGIES	2001	297000	297000	1	0	1	1	1	1	1	1
ENVIRONMENTAL CHEMICAL	2001	82589682	80816387	0.978528	0	1	1	1	1	1	0
BAHRAIN PETROLEUM COMPANY	2011	279984653.4	0	0	1	0	0	0	0	0	0
QUANTA SERVICES	2002	7995999	7000	0.000875	0	1	1	0	0	0	0
ADECCO	2002	27000	0	0	0	0	0	0	0	0	0
CETROM	2002	372477299	372387299	0.999758	0	1	1	1	1	0	0
WAMAR INTERNATIONAL	2008	867167	0	0	0	0	0	0	0	0	0
TIDEWATER HOLDING	2001	3186817	3186817	1	0	1	1	1	1	1	1
GEORGIA ATLANI	1997	44999	44999	1	0	1	1	1	1	1	1
RIVER CITY TEC	2000	74000	74000	1	0	1	1	1	1	1	1
MOFFATT & NICHOL ENGINEERS	2000	4084147	296510	0.0726	0	1	0	1	0	0	0
PYRAMID SERVICES	2004	21395	21395	1	0	1	1	1	1	1	1
THE HAPAK COMPANIES	2000	103000	103000	1	0	1	1	1	1	1	1
COMPUTER ASSOCIATES	1997	23073336	45861	0.001987	1	1	0	0	0	0	0
ASSET PROTECTION & SECURITY SERVICES	2013	80554659.99	0	0	0	0	0	0	0	0	0
CCI	2000	8115472	8115472	1	0	1	1	1	1	1	1
ADF	2003	3950	3950	1	0	1	1	1	1	1	1
THE SALVATION ARMY	2003	1203497	0	0	0	0	0	0	0	0	0
IROBOT	2000	3595564	3551039	0.987616	0	1	1	1	1	1	0
CCI	1997	4519958	4519958	1	0	1	1	1	1	1	1
KNIGHT PROTECTIVE SERVICES	2007	59722259.03	1201000	0.020109	0	1	1	1	1	0	0
ASSET PROTECTION & SECURITY SERVICES	2010	70593916.78	1906675.94	0.027009	0	1	1	1	1	0	0
MOTOR TECHNOLOGY	2003	487911	487911	1	0	1	1	1	1	1	0
THE ASSOCIATED PRESS	2000	2087483	113000	0.054132	0	1	0	1	0	1	0
HISPANIC ASSOC OF COLLEGES &	2004	1148191	288594	0.251346	0	1	1	1	1	0	0
VIDEO LAB	2003	12580	12580	1	0	1	1	1	1	1	1
AMERICAN CHEMICAL SOCIETY	2010	1268307.5	117600	0.092721	0	1	0	1	0	0	0
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	2007	26585139.94	0	0	0	1	0	0	0	0	0
Turner/Gilbane JV	2007	8506502	0	0	1	0	0	0	0	0	0
**VARIABLE	2010	403704.67	403704.67	1	0	1	1	1	1	0	0
JUST TO CLEAN	2000	60000	60000	1	0	1	1	1	1	1	1
WILSON CONSERVATION	2013	11000	9000	0.818181	0	1	1	1	1	0	0
AIRCRAFT CHARTER SOLUTIONS	2013	16930018.47	0	0	0	0	0	0	0	0	0
ADVANCED MIDRANGE APPLICATIONS	2013	48000	48000	1	0	1	1	1	1	1	1
UNIVERSIDAD PERUANA CAYETANO HEREDIA	2007	160000	0	0	0	0	0	0	0	0	0
RONCO	2000	1005235	63000	0.062671	0	1	1	1	1	0	0
SIGMA ALDRICH	2004	114048	14073	0.123395	0	1	1	1	1	0	0
HG HOLDINGS	2004	5663481.78	44104.72	0.007787	0	1	1	0	0	0	0
SAVANNAH RIVER NUCLEAR SOLUTIONS	2013	922480839.6	0	0	1	0	0	0	0	0	0
CASELLA WASTE MANAGEMENT	2002	107125	67166	0.626987	0	1	0	1	0	0	0
LEAR SIEGLER INC [URS]	2000	112533374	0	0	0	0	0	0	0	0	0
ENRON	1997	6563654	0	0	0	0	0	0	0	0	0
GLOBAL TECHNOLOGY RESOURCES	2013	47837611.58	38383268.13	0.802365	0	1	1	1	1	0	0
TOLEM RESOURCES	2010	37923933.09	0	0	0	0	0	0	0	0	0
SPACE ENVIRONMENT	2010	110000	110000	1	0	1	1	1	1	0	0
INTERAD	2000	45000	45000	1	0	1	1	1	1	1	1
NACCO Industries	1991	16263000	0	0	0	0	0	0	0	0	0
AVOCENT HUNTSVILLE	2007	1673710.33	78844.22	0.047107	0	1	1	1	1	0	0
HG SECURITY	2000	1421000	1421000	1	0	1	1	1	1	1	1
TECHNI CORE PROFESSIONALS	2003	1366901	1366901	1	0	1	1	1	1	1	1
CMP DEVELOPMENT	2003	6250	0	0	0	0	0	0	0	0	0
CITY OF WORCEST	2004	3000	0	0	0	0	0	0	0	0	0
URS	2003	1507381468	1973050	0.001308	1	1	0	1	0	1	0
MC VAC ENVIRONMENTAL	2004	142732	142732	1	0	1	1	1	1	1	1
JUST TO CLEAN	2003	27722	27722	1	0	1	1	1	1	1	1
DYNCORP INTERNATIONAL	2013	3664582249	94512.9719	0.000025	1	1	0	1	0	1	0
GLOBAL CONTAINER LINE	2007	12547040	339500	0.027058	0	1	1	1	1	0	0
"UNIVERSAL SYSTEMS & TECHNOLOGY, INC, GYROCAM SYSTEMS"	2003	33916716	29332519	0.864839	0	1	1	1	1	0	0
ENGINEERED SYSTEMS	2004	768823.42	768823.42	1	0	1	1	1	1	1	1
Hydroid	2006	9440440	9043484	0.957951	0	1	1	1	1	0	0
THE KROLL O'GARA COMPANY	2001	1655502.92	1110578.92	0.67084	0	1	1	1	1	0	0
COMPOSITE TECHNOLOGY	2001	706800	72800	0.102999	0	1	1	1	1	0	0
UNIFIRST	1995	1309520	0	0	0	0	0	0	0	0	0
ATLANTIS	1998	305852	267892	0.875887	0	1	1	1	1	0	0
RESOLUTE SYSTEMS	2006	1600	1600	1	0	1	1	1	1	1	1
QUANTUM COMPUTER SOLUTIONS	2001	82000	82000	1	0	1	1	1	1	1	1
ZIMMERMAN ASSOCIATES	2007	16480583.42	16344722.96	0.991756	0	1	1	1	1	1	0
TESORO	2000	99359528	10787894	0.108574	1	1	0	1	0	0	0
AMERICAN STORES DORSO TRAILER	2003	5888	5888	1	0	1	1	1	1	1	1
SCHAFER	1998	16814549	1635279	0.097253	0	1	1	1	1	0	0
VIRGINIA HEALTH CARE	2012	18493.83	18493.83	1	0	1	1	1	1	1	1
ADPP ANGOLA	2007	16327659	0	0	0	0	0	0	0	0	0
PARKER HANNIFIN	2012	134668473.9	594309.13	0.004413	1	1	0	1	0	1	0
VISUAL PURPLE	2003	497410	497410	1	0	1	1	1	1	1	1
PLANNING SYSTEMS	2009	28304939.47	2251019.36	0.079527	0	1	1	1	1	0	0
SYSTEMS MADE SIMPLE	2006	2875756	2875756	1	0	1	1	1	1	1	1
DICK ENTERPRISES	2007	33236448.99	596907	0.017959	0	1	0	1	0	0	0
SKE INTERNATIONAL	2003	20401068	0	0	0	0	0	0	0	0	0
BROWNING FERRIS	2009	30683.72	19669.6	0.641043	0	1	0	1	0	1	0
MARCONI	2001	20548683.98	289791	0.014102	0	1	0	1	0	0	0
ADVANCED EQUIPMENT MAINTENANCE	2007	862349.38	862349.38	1	0	1	1	1	1	1	1
COMPOSITE TECHNOLOGY	2004	5263849.62	755507	0.143527	0	1	1	1	1	0	0
UNITEK TECHNOLOGY	2009	275791.98	275791.98	1	0	1	1	1	1	1	1
DYNAMIC SYSTEMS	2003	16188970.89	16188970.89	1	0	1	1	1	1	1	1
METCALF & ED	2006	-13134	0	0	0	0	0	0	0	0	0
DLT SOLUTIONS	2007	143060395.9	123207241.8	0.861225	0	1	1	1	1	0	0
OGDEN	2004	3584942.16	0	0	0	0	0	0	0	0	0
ATMOS ENERGY	2009	29063943.67	1208712	0.041588	0	1	0	1	0	0	0
UNIFIRST	2007	4557988.24	345856.84	0.075879	0	1	0	1	0	1	0
AM GENERAL	2012	317067945.9	0	0	0	1	0	0	0	0	0
ATLANTIS	2010	544786.19	544786.19	1	0	1	1	1	1	1	1
MICROSOFT	2010	109537084	623353.47	0.00569	1	1	0	1	0	0	0
ARTEL	1997	3601156	3388984	0.941082	0	1	1	1	1	0	0
TANADQUISX	2013	11136473.28	11136473.28	1	0	1	1	1	1	1	1
VIRGINIA HEALTH CARE	2003	32973	32973	1	0	1	1	1	1	1	1
KENNETH SUDOL & ASSOCIATES	2003	21800	21800	1	0	1	1	1	1	1	1
CR ASSOCIATES	2010	29353218.14	0	0	0	0	0	0	0	0	0
INTER CON SECURITY SYSTEMS	1993	82397	82397	1	0	1	1	1	1	1	1
UNIVERSITY OF L	2006	5216203.2	2378.01	0.000455	0	1	0	0	0	0	0
CSX	2006	5582.41	4353.24	0.779813	1	1	1	1	1	0	0
CENTRAL PARKING	2003	3115630	562774	0.180629	0	1	0	1	0	1	0
AVERSTAR	2009	7515.82	0	0	0	0	0	0	0	0	0
MICROSOFT	2013	181689858.8	566866.6	0.003119	1	1	0	1	0	0	0
ZEIDERS ENTERPRISES	1997	6936835	6936835	1	0	1	1	1	1	1	1
HYPERION SOFTWARE	2007	3856576.04	3863332.04	1.001751	0	1	1	1	1	1	0
BLACK & DECKER	2003	6382	6382	1	0	1	1	1	1	1	1
GLOBAL INSIGHT	2012	485751	0	0	0	0	0	0	0	0	0
NORTHERN STATES POWER	2010	6839670.04	6839670.04	1	0	1	1	1	1	1	1
ANALYSIS & TECHNOLOGY	2003	6052031	0	0	0	0	0	0	0	0	0
